"title","tags","views","likes","comment_count","category_id","categories","publish_date_official","trend_date_official","Title","tag1","tag2","tag3","tag4","tag5","tag6","tag7","tag8","tag9","tag10","tag11","tag12","tag13","tag14","tag15","tag16","tag17","tag18","tag19","tag20","tag21","tag22","tag23","tag24","tag25","tag26","tag27","tag28","tag29","tag30","tag31","tag32","tag33","tag34","tag35","tag36","tag37","tag38","tag39","tag40","tag41","tag42","tag43","tag44","tag45","tag46","tag47","tag48","tag49","tag50","tag51","tag52"
"Childish Gambino - This Is America (Official Video)","Childish Gambino|""Rap""|""This Is America""|""mcDJ Recording/RCA Records""",225211923,5023450,517232,10,"Music",2018-05-06,2018-06-02,"Childish Gambino - This Is America (Official Video)","Childish Gambino","Rap","This Is America","mcDJ Recording/RCA Records",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YouTube Rewind: The Shape of 2017 | #YouTubeRewind","Rewind|""Rewind 2017""|""youtube rewind 2017""|""#YouTubeRewind""|""Rewind 2016""|""Dan and Phil""|""Grace Helbig""|""HolaSoyGerman""|""Lilly Singh""|""Markiplier""|""Swoozie""|""Rhett Link""|""Liza Koshy""|""Dolan Twins""|""Lele Pons""|""Jake Paul""|""Logan Paul""|""KSI""|""Joey Graceffa""|""Casey Neistat""|""Poppy""|""Niana Guerrero""|""Daddy Yankee""|""Luis Fonsi""|""Ed Sheeran""|""Kendrick Lamar""|""Stephen Colbert""|""Fidget Spinners""|""Slime""|""Backpack Kid""|""April the Giraffe""|""#Rewind""|""Despacito""|""Shape of you""|""YouTubeRewind""|""I’m the One""|""Humble""",149376127,3093544,810698,24,"Entertainment",2017-12-06,2017-12-14,"YouTube Rewind: The Shape of 2017 | #YouTubeRewind","Rewind","Rewind 2017","youtube rewind 2017","#YouTubeRewind","Rewind 2016","Dan and Phil","Grace Helbig","HolaSoyGerman","Lilly Singh","Markiplier","Swoozie","Rhett Link","Liza Koshy","Dolan Twins","Lele Pons","Jake Paul","Logan Paul","KSI","Joey Graceffa","Casey Neistat","Poppy","Niana Guerrero","Daddy Yankee","Luis Fonsi","Ed Sheeran","Kendrick Lamar","Stephen Colbert","Fidget Spinners","Slime","Backpack Kid","April the Giraffe","#Rewind","Despacito","Shape of you","YouTubeRewind","I’m the One","Humble",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ariana Grande - No Tears Left To Cry","Ariana|""Grande""|""No""|""Tears""|""Left""|""To""|""Cry""|""Universal""|""Records""|""Pop""",148689896,3094021,242039,10,"Music",2018-04-20,2018-05-14,"Ariana Grande - No Tears Left To Cry","Ariana","Grande","No","Tears","Left","To","Cry","Universal","Records","Pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Becky G, Natti Natasha - Sin Pijama (Official Video)","Becky G|""Natti Natasha""|""Natti Natasha Music""|""Natti Natasha Official Video""|""Natti Natasha Video""|""Natti Natasha Video Oficial""|""Natti Natasha Nuevo Video""|""Natti Natasha New Video""|""Sin Pijama Official Video""|""Official Video""|""Sin Pijama Official Remix Video""|""Sin Pijama Single""|""Single""|""Natti Natasha New Single""|""Natti Natasha Single""|""Natti Natasha Song""|""Sin Pijama new song""|""Sin Pijama nueva canción""|""Natti Natasha nueva cancion""|""Natti""|""Natasha""|""en""",139334502,1425496,83941,10,"Music",2018-04-20,2018-05-15,"Becky G, Natti Natasha - Sin Pijama (Official Video)","Becky G","Natti Natasha","Natti Natasha Music","Natti Natasha Official Video","Natti Natasha Video","Natti Natasha Video Oficial","Natti Natasha Nuevo Video","Natti Natasha New Video","Sin Pijama Official Video","Official Video","Sin Pijama Official Remix Video","Sin Pijama Single","Single","Natti Natasha New Single","Natti Natasha Single","Natti Natasha Song","Sin Pijama new song","Sin Pijama nueva canción","Natti Natasha nueva cancion","Natti","Natasha","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BTS (방탄소년단) 'FAKE LOVE' Official MV","BIGHIT|""빅히트""|""방탄소년단""|""BTS""|""BANGTAN""|""방탄""|""FAKE LOVE""|""FAKE_LOVE""|""fake love""",123010920,5613827,1228655,10,"Music",2018-05-18,2018-06-01,"BTS (방탄소년단) 'FAKE LOVE' Official MV","BIGHIT","빅히트","방탄소년단","BTS","BANGTAN","방탄","FAKE LOVE","FAKE_LOVE","fake love",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Weeknd - Call Out My Name (Official Video)","The|""Weeknd""|""Call""|""Out""|""My""|""Name""",122544931,1427436,55320,10,"Music",2018-04-12,2018-05-14,"The Weeknd - Call Out My Name (Official Video)","The","Weeknd","Call","Out","My","Name",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luis Fonsi, Demi Lovato - Échame La Culpa","Luis|""Fonsi""|""Demi""|""Lovato""|""Échame""|""La""|""Culpa""|""UMLE""|""Latino""|""Latin""|""Pop""",102012605,2376636,134224,10,"Music",2017-11-17,2017-11-26,"Luis Fonsi, Demi Lovato - Échame La Culpa","Luis","Fonsi","Demi","Lovato","Échame","La","Culpa","UMLE","Latino","Latin","Pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]","Cardi B|""I Like It""|""Invasion of Privacy""|""Bad Bunny""|""J Balvin""|""Bronx""|""New York""|""Rap""|""Hip Hop""|""Bodak Yellow""|""Bartier Cardi""|""8zSRkr1nQNw""|""Cardi""|""Bardi""",94254507,1816753,101077,10,"Music",2018-05-29,2018-06-14,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]","Cardi B","I Like It","Invasion of Privacy","Bad Bunny","J Balvin","Bronx","New York","Rap","Hip Hop","Bodak Yellow","Bartier Cardi","8zSRkr1nQNw","Cardi","Bardi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marvel Studios' Avengers: Infinity War Official Trailer","marvel|""comics""|""comic books""|""nerdy""|""geeky""|""super hero""|""superhero""|""avengers: infinity war""|""avengers""|""infinity war""|""marvel studios""",91933007,2625661,350458,24,"Entertainment",2017-11-29,2017-12-08,"Marvel Studios' Avengers: Infinity War Official Trailer","marvel","comics","comic books","nerdy","geeky","super hero","superhero","avengers: infinity war","avengers","infinity war","marvel studios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maluma - El Préstamo (Official Video)","Maluma Music|""Maluma Official Video""|""Maluma Video""|""Maluma Video Oficial""|""Maluma Nuevo Video""|""Maluma New Video""|""El Prestamo""|""El Prestamo Official Video""|""El Prestamo Official Remix Video""|""El Prestamo Single""|""Maluma New Single""|""Maluma Single""|""Maluma Song""|""El Prestamo new song""|""El Prestamo nueva canción""|""Maluma nueva cancion""|""Maluma sencillo""|""Maluma nuevo sencillo""|""Maluma El Prestamo""|""Maluma F.A.M.E""|""Maluma F.A.M.EF.A.M.E""|""El Prestamo BTS""|""El""|""the""",87264467,815369,35945,10,"Music",2018-03-09,2018-03-25,"Maluma - El Préstamo (Official Video)","Maluma Music","Maluma Official Video","Maluma Video","Maluma Video Oficial","Maluma Nuevo Video","Maluma New Video","El Prestamo","El Prestamo Official Video","El Prestamo Official Remix Video","El Prestamo Single","Maluma New Single","Maluma Single","Maluma Song","El Prestamo new song","El Prestamo nueva canción","Maluma nueva cancion","Maluma sencillo","Maluma nuevo sencillo","Maluma El Prestamo","Maluma F.A.M.E","Maluma F.A.M.EF.A.M.E","El Prestamo BTS","El","the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
